gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
F,0.4950495049504948,Central,0.579688500106678,Central,Commerce,0.4571428571428571,CommMgmt,No,0.4375,MktHR,0.4061152489219912,Placed,0.1351351351351351
M,0.6871287128712871,Others,0.5476850864092171,Others,Commerce,0.3285714285714287,CommMgmt,Yes,0.4864583333333332,MktFin,0.4613876911015286,Placed,0.2027027027027027
M,0.3465346534653464,Central,0.4516748453168338,Central,Commerce,0.3428571428571429,CommMgmt,No,0.5833333333333335,MktHR,0.315954527636221,Placed,0.2432432432432432
M,0.3217821782178216,Central,0.2596543631320673,Others,Science,0.2857142857142858,CommMgmt,No,0.7291666666666667,MktHR,0.1081928655429242,Placed,0.0445945945945945
M,0.2970297029702968,Others,0.2383187540004268,Others,Commerce,0.2571428571428571,CommMgmt,No,0.25,MktFin,0.1736573892591137,Placed,0.0675675675675675
F,0.4331683168316831,Others,0.4175378707062087,Central,Arts,0.4551428571428573,CommMgmt,No,0.2291666666666667,MktFin,0.4660917287338293,Placed,0.0405405405405405
M,0.4455445544554455,Others,0.366332408790271,Others,Commerce,0.2285714285714286,CommMgmt,Yes,0.5083333333333335,MktHR,0.0435123480987846,Placed,0.1351351351351351
M,0.866336633663366,Others,0.8549178579048433,Others,Science,0.2428571428571428,SciTech,No,0.7508333333333335,MktFin,0.2759702077616621,Placed,0.0945945945945945
F,0.5693069306930691,Others,0.1956475357371452,Others,Science,0.3714285714285714,CommMgmt,No,0.1145833333333334,MktHR,0.2359858878871028,Placed,0.0675675675675675
M,0.5445544554455444,Others,0.6010241092383188,Others,Commerce,0.2857142857142858,CommMgmt,Yes,0.9166666666666669,MktFin,0.2026656213249702,Placed,0.054054054054054
M,0.7096534653465345,Others,0.2999786643908684,Others,Commerce,0.4191428571428572,CommMgmt,No,0.8125,MktFin,0.3139945119560954,Placed,0.1351351351351351
F,0.6178217821782175,Others,0.6010241092383188,Others,Commerce,0.3142857142857143,CommMgmt,No,0.4614583333333335,MktFin,0.4194433555468442,Placed,0.108108108108108
F,0.866336633663366,Central,0.4730104544484745,Central,Commerce,0.485714285714286,CommMgmt,No,0.5208333333333335,MktFin,0.8212465699725597,Placed,0.2027027027027027
M,0.3960396039603959,Central,0.366332408790271,Central,Arts,0.2285714285714286,CommMgmt,No,0.5208333333333335,MktFin,0.2124656997255973,Placed,0.0675675675675675
M,0.3712871287128712,Others,0.6223597183699594,Others,Science,0.2571428571428571,SciTech,Yes,0.3958333333333335,MktFin,0.2065856526852214,Placed,0.4054054054054054
F,0.6188118811881187,Others,0.3236611905269895,Others,Commerce,0.0571428571428571,CommMgmt,No,0.4166666666666667,MktHR,0.3077224617796941,Placed,0.0054054054054054
F,0.5940594059405939,Others,0.2596543631320673,Others,Science,0.2857142857142858,CommMgmt,No,0.8125,MktFin,0.3183065464523715,Placed,0.0216216216216215
F,0.8910891089108908,Others,0.8357158096863666,Others,Commerce,0.7428571428571431,CommMgmt,No,0.875,MktFin,0.613484907879263,Placed,0.1351351351351351
F,0.8623762376237625,Others,0.8320887561339876,Others,Commerce,0.6057142857142856,CommMgmt,Yes,0.5987499999999999,MktFin,0.9329674637397098,Placed,0.2702702702702703
F,0.4331683168316831,Central,0.3407296778323021,Central,Arts,0.3799999999999999,CommMgmt,Yes,0.6333333333333335,MktFin,0.7299098392787142,Placed,0.0486486486486485
M,0.8712871287128714,Central,0.4815446981011309,Central,Commerce,0.3111428571428571,CommMgmt,No,0.2416666666666667,MktFin,0.3959231673853387,Placed,0.1351351351351351
F,0.5148514851485146,Others,0.2127160230424578,Others,Science,0.4637142857142857,SciTech,No,0.1152083333333333,MktHR,0.6440611524892197,Placed,0.2162162162162161
M,0.2920792079207919,Central,0.3748666524429274,Central,Commerce,0.2457142857142855,CommMgmt,Yes,0.6804166666666667,MktFin,0.4688357506860052,Placed,1.0
F,0.9405940594059404,Others,0.3023255813953489,Others,Science,0.7142857142857142,CommMgmt,Yes,0.7916666666666667,MktFin,0.7996863974911799,Placed,0.081081081081081
M,0.5099009900990097,Central,0.3748666524429274,Central,Commerce,0.6371428571428572,CommMgmt,Yes,0.2083333333333334,MktFin,0.4437475499803995,Placed,0.0675675675675675
M,0.3217821782178216,Central,0.4516748453168338,Central,Commerce,0.2571428571428571,CommMgmt,No,0.3541666666666667,MktFin,0.1611132889063111,Placed,0.0216216216216215
M,0.3465346534653464,Others,0.3449967996586303,Others,Commerce,0.2857142857142858,CommMgmt,No,0.375,MktHR,0.2081536652293216,Placed,0.0878378378378378
M,0.5693069306930691,Others,0.2596543631320673,Others,Science,0.6142857142857145,SciTech,Yes,0.5833333333333335,MktFin,0.0823206585652682,Placed,0.0675675675675675
M,0.5198019801980196,Central,0.4943460635801151,Central,Commerce,0.2571428571428571,CommMgmt,No,0.6875,MktFin,0.3880831046648372,Placed,0.1351351351351351
M,0.9108910891089106,Central,0.4858118199274588,Central,Commerce,0.4942857142857144,CommMgmt,No,0.975,MktFin,0.1223049784398271,Placed,0.304054054054054
F,0.2970297029702968,Central,0.6436953275016002,Central,Commerce,0.2971428571428574,CommMgmt,No,0.0185416666666666,MktHR,0.3853390827126617,Placed,0.1054054054054053
M,0.5940594059405939,Others,0.1529763174738638,Others,Commerce,0.0,CommMgmt,No,0.7083333333333335,MktHR,0.010192081536652,Placed,0.1351351351351351
M,0.0990099009900988,Central,0.2596543631320673,Others,Science,0.1142857142857143,CommMgmt,Yes,0.4166666666666667,MktFin,0.0321442571540573,Placed,0.0675675675675675
M,0.3960396039603959,Central,0.366332408790271,Others,Science,0.3714285714285714,CommMgmt,No,0.0770833333333333,MktHR,0.1030968247745978,Placed,0.0675675675675675
M,0.2227722772277227,Central,0.216983144868786,Central,Commerce,0.1142857142857143,CommMgmt,Yes,0.25,MktHR,0.3320266562132494,Placed,0.081081081081081
F,0.9282178217821782,Others,0.2852570940900363,Others,Science,0.3257142857142858,SciTech,No,0.1875,MktFin,0.2865542924343391,Placed,0.054054054054054
F,0.7425742574257423,Others,0.216983144868786,Others,Science,0.5571428571428572,SciTech,Yes,0.4166666666666667,MktFin,0.6201489611916893,Placed,0.0135135135135134
M,0.8712871287128714,Central,0.3962022615745681,Central,Science,0.2571428571428571,SciTech,Yes,0.625,MktHR,0.0133281066248529,Placed,0.0743243243243242
F,0.5940594059405939,Central,0.9850650736078516,Others,Commerce,0.6571428571428573,CommMgmt,Yes,0.8125,MktFin,0.7224617796942376,Placed,0.608108108108108
M,0.4455445544554455,Others,0.8570514188180072,Others,Commerce,0.0571428571428571,SciTech,No,0.1041666666666667,MktHR,0.2516660133281063,Placed,0.0945945945945945
F,0.2722772277227721,Central,0.2596543631320673,Central,Arts,0.0,Others,Yes,0.625,MktHR,0.1666013328106625,Placed,0.1351351351351351
M,0.3465346534653464,Others,0.3449967996586303,Others,Science,0.2285714285714286,SciTech,No,0.5208333333333335,MktFin,0.5519404155233238,Placed,0.4054054054054054
M,0.8168316831683169,Others,0.216983144868786,Others,Science,0.1714285714285714,SciTech,No,0.8125,MktFin,0.5123480987847904,Placed,0.2162162162162161
M,0.7673267326732671,Others,0.4730104544484745,Others,Commerce,0.5428571428571429,CommMgmt,No,0.2291666666666667,MktFin,0.2508820070560564,Placed,0.054054054054054
F,0.693069306930693,Others,0.4730104544484745,Others,Commerce,0.7142857142857142,CommMgmt,Yes,0.8125,MktFin,0.6789494315954525,Placed,0.0
M,0.3960396039603959,Central,0.2980584595690205,Others,Commerce,0.3857142857142857,CommMgmt,Yes,0.125,MktFin,0.1787534300274398,Placed,0.0878378378378378
F,0.7178217821782176,Central,0.5583528909750373,Others,Commerce,0.6857142857142857,CommMgmt,No,0.2083333333333334,MktFin,0.5621324970599764,Placed,0.1175675675675675
M,0.6188118811881187,Others,0.1743119266055046,Others,Commerce,0.485714285714286,CommMgmt,Yes,0.2083333333333334,MktHR,0.169345354762838,Placed,0.054054054054054
F,0.7029702970297029,Others,0.1956475357371452,Others,Science,0.2497142857142855,SciTech,Yes,0.875,MktFin,0.4406115248921987,Placed,0.1351351351351351
M,0.4009900990099009,Central,0.2255173885214423,Central,Commerce,0.2514285714285713,CommMgmt,Yes,0.9041666666666668,MktFin,0.1944335554684437,Placed,0.0945945945945945
M,0.8094059405940592,Others,0.2596543631320673,Others,Science,0.3142857142857143,CommMgmt,Yes,0.75,MktFin,0.6985495883967072,Placed,0.1351351351351351
M,0.7920792079207921,Others,0.366332408790271,Others,Science,0.2285714285714286,SciTech,No,0.8958333333333335,MktFin,0.3990591924735396,Placed,0.2851351351351351
M,0.3960396039603959,Central,0.4410070407510134,Others,Commerce,0.1942857142857141,CommMgmt,Yes,0.1458333333333334,MktFin,0.1654253234025868,Placed,0.0878378378378378
M,0.3465346534653464,Central,0.1956475357371452,Central,Commerce,0.0285714285714286,CommMgmt,Yes,0.5833333333333335,MktFin,0.0850646805174437,Placed,0.0054054054054054
M,0.2227722772277227,Central,0.2383187540004268,Central,Commerce,0.2285714285714286,CommMgmt,No,0.0808333333333335,MktFin,0.1015288122304975,Placed,0.081081081081081
F,0.4495049504950492,Central,0.4623426498826541,Central,Commerce,0.2100000000000002,CommMgmt,No,0.0633333333333334,MktFin,0.5150921207369654,Placed,0.0675675675675675
M,0.9405940594059404,Others,0.7717089822914445,Others,Commerce,0.3428571428571429,CommMgmt,No,0.9375,MktHR,0.4123872990983925,Placed,0.1351351351351351
F,0.693069306930693,Central,0.7503733731598037,Central,Arts,0.0,Others,No,0.1458333333333334,MktFin,0.4586436691493527,Placed,0.054054054054054
M,0.7673267326732671,Others,0.4090036270535524,Others,Science,0.4571428571428571,SciTech,No,0.7708333333333335,MktHR,0.7314778518228144,Placed,0.3378378378378378
M,0.5940594059405939,Central,0.2809899722637081,Others,Commerce,0.5999999999999999,CommMgmt,Yes,0.3125,MktHR,0.3371226969815755,Placed,0.0675675675675675
M,0.4950495049504948,Others,0.3023255813953489,Others,Commerce,0.0285714285714286,CommMgmt,No,0.4791666666666667,MktHR,0.1340650725205798,Placed,0.0878378378378378
F,0.4950495049504948,Others,0.2383187540004268,Others,Commerce,0.3714285714285714,CommMgmt,Yes,0.3541666666666667,MktHR,0.3908271266170127,Placed,0.054054054054054
M,0.8168316831683169,Central,0.2809899722637081,Central,Science,0.2857142857142858,SciTech,Yes,0.3541666666666667,MktFin,0.3825950607604858,Placed,0.0702702702702702
F,0.5074257425742572,Central,0.4090036270535524,Central,Science,0.4571428571428571,SciTech,No,0.1500000000000001,MktHR,0.0948647589180708,Placed,0.0675675675675675
M,0.866336633663366,Others,0.6010241092383188,Others,Science,0.3428571428571429,SciTech,Yes,0.7083333333333335,MktFin,0.5609564876519011,Placed,0.1351351351351351
M,0.4207920792079207,Central,0.5370172818433967,Central,Commerce,0.4571428571428571,CommMgmt,Yes,0.7083333333333335,MktHR,0.2575460603684827,Placed,0.1013513513513513
F,0.866336633663366,Others,0.5156816727117559,Others,Science,0.3714285714285714,SciTech,Yes,0.25,MktHR,0.3912191297530376,Placed,0.0135135135135134
M,0.5940594059405939,Central,0.6010241092383188,Central,Commerce,0.4571428571428571,CommMgmt,No,0.8612500000000001,MktFin,0.3492747941983531,Placed,0.0418918918918918
F,0.693069306930693,Central,0.7717089822914445,Central,Commerce,0.0857142857142858,CommMgmt,No,0.375,MktFin,0.637005096040768,Placed,0.0243243243243242
M,0.0891089108910889,Central,0.3147002346917005,Others,Science,0.4602857142857142,SciTech,No,0.1583333333333334,MktFin,0.1677773422187374,Placed,0.0878378378378378
F,0.641089108910891,Others,0.1316407083422233,Others,Science,0.1714285714285714,Others,Yes,0.625,MktFin,0.3292826342610739,Placed,0.2162162162162161
M,0.3217821782178216,Others,0.2383187540004268,Others,Commerce,0.1142857142857143,CommMgmt,Yes,0.2708333333333335,MktHR,0.0,Placed,0.054054054054054
M,0.8876237623762375,Others,0.3449967996586303,Others,Science,0.6285714285714288,CommMgmt,No,0.9479166666666669,MktFin,0.6330850646805173,Placed,0.054054054054054
F,0.7039603960396037,Central,0.878387027949648,Others,Commerce,0.4571428571428571,CommMgmt,Yes,0.9166666666666669,MktFin,0.5782046256370048,Placed,0.0675675675675675
M,0.4702970297029702,Others,0.1103050992105825,Others,Science,0.3428571428571429,SciTech,No,0.4791666666666667,MktHR,0.6150529204233628,Placed,0.2027027027027027
F,0.865346534653465,Others,0.0462982718156603,Others,Science,1.0000000000000002,SciTech,No,0.1941666666666668,MktHR,0.6793414347314775,Placed,0.081081081081081
F,0.6188118811881187,Central,0.1956475357371452,Others,Science,0.3714285714285714,CommMgmt,No,0.5833333333333335,MktHR,0.5166601332810661,Placed,0.0216216216216215
M,0.8168316831683169,Others,0.8357158096863666,Others,Commerce,0.7714285714285716,CommMgmt,No,0.625,MktHR,0.8286946295570363,Placed,0.0
F,0.6485148514851484,Central,0.4772775762748027,Central,Science,0.3542857142857145,CommMgmt,No,0.3125,MktHR,0.415523324186593,Placed,0.0
M,0.5999999999999996,Others,0.0,Others,Science,0.2362857142857142,SciTech,Yes,0.2916666666666667,MktFin,0.542924343394747,Placed,0.4054054054054054
M,0.2227722772277227,Others,0.1956475357371452,Others,Science,0.4571428571428571,SciTech,No,0.5,MktFin,0.0486083888671107,Placed,0.1013513513513513
M,0.6188118811881187,Central,0.2383187540004268,Others,Science,0.3428571428571429,CommMgmt,No,0.5,MktFin,0.2199137593100744,Placed,0.0918918918918918
M,0.3465346534653464,Others,0.2383187540004268,Others,Commerce,0.3428571428571429,CommMgmt,No,0.2916666666666667,MktFin,0.3951391611132888,Placed,0.0675675675675675
F,0.4207920792079207,Central,0.2383187540004268,Central,Commerce,0.485714285714286,CommMgmt,No,0.1666666666666667,MktHR,0.4696197569580556,Placed,0.0135135135135134
F,0.7425742574257423,Others,0.5370172818433967,Others,Commerce,0.8285714285714285,CommMgmt,No,0.9375,MktFin,0.6538612308898468,Placed,0.2608108108108108
M,0.4702970297029702,Central,0.5370172818433967,Central,Commerce,0.5142857142857145,CommMgmt,No,0.625,MktFin,0.4394355154841238,Placed,0.2162162162162161
M,0.9405940594059404,Central,0.4943460635801151,Central,Science,0.2571428571428571,SciTech,Yes,0.5208333333333335,MktHR,0.7804782438259505,Placed,0.1351351351351351
M,0.8497524752475247,Central,0.579688500106678,Others,Commerce,0.142857142857143,CommMgmt,Yes,0.8033333333333335,MktFin,0.7514700117600936,Placed,0.1351351351351351
M,0.73019801980198,Central,0.3129933859611691,Central,Science,0.3142857142857143,SciTech,Yes,0.9375,MktFin,0.4892199137593098,Placed,0.108108108108108
M,0.6856435643564356,Central,0.8293151269468744,Others,Commerce,0.2857142857142858,CommMgmt,Yes,0.8333333333333335,MktFin,0.6338690709525672,Placed,0.0675675675675675
F,0.7425742574257423,Central,0.5370172818433967,Central,Science,0.2742857142857142,SciTech,No,0.1666666666666667,MktHR,0.1211289690317518,Placed,0.1621621621621621
M,0.4331683168316831,Central,0.2489865585662471,Central,Commerce,0.1400000000000001,CommMgmt,No,0.9041666666666668,MktFin,0.1038808310466481,Placed,0.1351351351351351
M,0.1653465346534652,Others,0.2240238958822273,Others,Commerce,0.0248571428571429,CommMgmt,No,0.3333333333333335,MktHR,0.232065856526852,Placed,0.081081081081081
M,0.7507425742574256,Central,0.5867292511201194,Others,Science,0.6137142857142861,SciTech,Yes,0.7604166666666667,MktFin,0.5448843590748726,Placed,0.0
M,0.3960396039603959,Central,0.3023255813953489,Central,Commerce,0.5428571428571429,CommMgmt,No,0.6875,MktFin,0.2544100352802818,Placed,0.0945945945945945
M,0.5940594059405939,Central,0.579688500106678,Central,Science,0.485714285714286,SciTech,Yes,0.7291666666666667,MktHR,0.5272442179537435,Placed,0.054054054054054
M,0.4752475247524752,Central,0.4687433326221464,Central,Commerce,0.3028571428571427,CommMgmt,Yes,0.9583333333333336,MktFin,0.7240297922383374,Placed,0.1351351351351351
M,0.5198019801980196,Central,0.2596543631320673,Central,Science,0.2857142857142858,SciTech,No,0.2350000000000001,MktHR,0.303018424147393,Placed,0.054054054054054
M,0.188118811881188,Central,0.2980584595690205,Central,Commerce,0.4057142857142859,CommMgmt,No,0.7139583333333333,MktFin,0.5809486475891807,Placed,0.1837837837837837
F,0.3712871287128712,Central,0.3449967996586303,Others,Science,0.3885714285714285,SciTech,Yes,0.118125,MktHR,0.7491179929439431,Placed,0.0675675675675675
M,0.3217821782178216,Others,0.3023255813953489,Others,Commerce,0.2857142857142858,CommMgmt,No,0.0,MktHR,0.169345354762838,Placed,0.0878378378378378
M,0.6435643564356435,Others,0.4151909537017284,Others,Commerce,0.4285714285714286,CommMgmt,No,0.9375,MktFin,0.5707565660525282,Placed,0.054054054054054
F,0.2779702970297029,Central,0.3876680179219116,Central,Science,0.2857142857142858,CommMgmt,No,0.4583333333333335,MktFin,0.2779302234417873,Placed,0.0405405405405405
F,0.693069306930693,Others,0.216983144868786,Others,Commerce,0.3428571428571429,CommMgmt,Yes,0.15625,MktFin,0.3500588004704035,Placed,0.1351351351351351
M,0.4950495049504948,Others,0.1956475357371452,Others,Commerce,0.2571428571428571,CommMgmt,No,0.7822916666666666,MktFin,0.0168561348490787,Placed,0.1351351351351351
M,0.4455445544554455,Others,0.3449967996586303,Others,Commerce,0.485714285714286,CommMgmt,Yes,0.1875,MktFin,0.6797334378675028,Placed,0.1283783783783783
F,0.8168316831683169,Others,0.2809899722637081,Others,Science,0.485714285714286,SciTech,Yes,0.9583333333333336,MktFin,0.7600940807526455,Placed,0.0675675675675675
F,0.2475247524752475,Central,0.1956475357371452,Others,Commerce,0.0,CommMgmt,No,0.1041666666666667,MktHR,0.2163857310858485,Placed,0.0270270270270269
F,0.3960396039603959,Central,0.5156816727117559,Central,Commerce,0.3714285714285714,CommMgmt,Yes,0.4583333333333335,MktFin,0.4813798510388078,Placed,0.0
M,0.3861386138613858,Central,0.7040751013441433,Others,Commerce,0.449142857142857,CommMgmt,No,0.75,MktFin,0.2889063112504897,Placed,0.0243243243243242
F,0.6188118811881187,Others,0.4730104544484745,Others,Commerce,0.485714285714286,CommMgmt,Yes,0.625,MktFin,0.6001568012544096,Placed,0.0135135135135134
M,0.693069306930693,Central,0.4090036270535524,Central,Commerce,0.0857142857142858,CommMgmt,Yes,0.1666666666666667,MktFin,0.0803606428851426,Placed,0.0270270270270269
F,0.3712871287128712,Central,0.4836782590142949,Central,Commerce,0.485714285714286,CommMgmt,No,0.0416666666666667,MktHR,0.169345354762838,Placed,0.0675675675675675
M,0.7900990099009901,Others,0.5903563046724984,Others,Commerce,0.3142857142857143,CommMgmt,No,0.3897916666666665,MktFin,0.3375147001176009,Placed,0.1013513513513513
M,0.7673267326732671,Others,0.6223597183699594,Others,Commerce,0.4571428571428571,CommMgmt,Yes,0.2872916666666667,MktFin,0.5354762838102705,Placed,0.1216216216216216
M,0.0,Others,0.1743119266055046,Others,Science,0.2571428571428571,SciTech,Yes,0.75,MktFin,0.3959231673853387,Placed,0.1891891891891891
M,0.8415841584158412,Others,0.4943460635801151,Others,Science,0.2857142857142858,CommMgmt,No,0.3941666666666668,MktHR,0.2383379067032534,Placed,0.1013513513513513
F,0.9653465346534652,Central,0.4516748453168338,Central,Science,0.6285714285714288,Others,No,0.6666666666666667,MktHR,0.746765974127793,Placed,0.0702702702702702
M,0.8910891089108908,Central,0.1956475357371452,Others,Science,0.4980000000000004,SciTech,Yes,0.2083333333333334,MktFin,0.3492747941983531,Placed,0.081081081081081
M,0.4950495049504948,Central,0.2596543631320673,Others,Science,0.2571428571428571,CommMgmt,Yes,0.1041666666666667,MktHR,0.2293218345746761,Placed,0.2162162162162161
M,0.9999999999999998,Others,0.3164070834222316,Others,Science,0.4357142857142857,SciTech,No,0.4583333333333335,MktHR,0.4253234025872205,Placed,0.2702702702702703
M,0.3465346534653464,Central,0.3279283123533176,Central,Commerce,0.2742857142857142,CommMgmt,Yes,0.2083333333333334,MktFin,0.3982751862014893,Placed,0.1351351351351351
M,0.5445544554455444,Central,0.1670578195007466,Central,Science,0.0571428571428571,SciTech,Yes,0.125,MktFin,0.3496667973343785,Placed,0.6621621621621621
M,0.2970297029702968,Central,0.665030936633241,Central,Commerce,0.3714285714285714,CommMgmt,No,0.7083333333333335,MktFin,0.232457859662877,Placed,0.1351351351351351
M,0.282178217821782,Central,0.3364625560059739,Others,Science,0.2571428571428571,CommMgmt,No,0.4375,MktHR,0.0129361034888275,Placed,0.0270270270270269
M,0.2227722772277227,Others,0.216983144868786,Others,Commerce,0.142857142857143,CommMgmt,No,0.1666666666666667,MktHR,0.0611524892199133,Placed,0.0675675675675675
M,0.4455445544554455,Others,0.216983144868786,Central,Science,0.4571428571428571,CommMgmt,No,0.4583333333333335,MktFin,0.3382987063896507,Placed,0.0864864864864864
M,0.4455445544554455,Central,0.430339236185193,Central,Science,0.238,Others,Yes,0.2916666666666667,MktHR,0.3480987847902779,Placed,0.0675675675675675
M,0.7772277227722773,Central,0.4815446981011309,Central,Science,0.6205714285714288,SciTech,Yes,0.6500000000000001,MktHR,0.9361034888279108,Placed,0.2702702702702703
F,0.5693069306930691,Central,0.1103050992105825,Others,Science,0.3714285714285714,CommMgmt,No,0.1166666666666667,MktHR,0.5194041552332416,Placed,0.0
M,0.6683168316831682,Central,0.6223597183699594,Central,Science,0.6285714285714288,SciTech,Yes,0.9791666666666664,MktHR,0.7095256762054096,Placed,0.1027027027027026
F,0.4950495049504948,Central,0.4730104544484745,Central,Commerce,0.2571428571428571,CommMgmt,No,0.4166666666666667,MktFin,0.1932575460603685,Placed,0.0270270270270269
F,0.6683168316831682,Central,0.4090036270535524,Central,Science,0.5714285714285714,CommMgmt,Yes,0.3333333333333335,MktFin,0.472755782046256,Placed,0.1351351351351351
M,0.3960396039603959,Central,0.5583528909750373,Central,Commerce,0.3714285714285714,CommMgmt,No,0.2083333333333334,MktHR,0.3700509604076831,Placed,0.1027027027027026
M,0.693069306930693,Others,0.5156816727117559,Others,Science,0.485714285714286,SciTech,No,0.625,MktFin,0.5750686005488039,Placed,0.054054054054054
M,0.5198019801980196,Central,0.2596543631320673,Others,Science,0.4000000000000001,SciTech,Yes,0.1041666666666667,MktFin,0.3771070168561348,Placed,0.1351351351351351
M,0.5940594059405939,Central,0.579688500106678,Others,Commerce,0.2571428571428571,CommMgmt,Yes,0.9470833333333332,MktFin,0.3833790670325361,Placed,0.2972972972972972
M,0.4455445544554455,Others,0.2596543631320673,Central,Commerce,0.4571428571428571,CommMgmt,No,0.125,MktHR,0.3147785182281453,Placed,0.0337837837837837
M,0.782178217821782,Others,0.665030936633241,Others,Commerce,0.6171428571428572,CommMgmt,No,0.8541666666666667,MktFin,0.8667189337514696,Placed,0.2702702702702703
M,0.3217821782178216,Others,0.2596543631320673,Others,Commerce,0.2285714285714286,CommMgmt,No,0.3541666666666667,MktFin,0.1822814582516656,Placed,0.0270270270270269
M,0.6237623762376237,Central,0.7845103477704287,Others,Commerce,0.6071428571428574,CommMgmt,Yes,0.5250000000000001,MktFin,0.5362602900823203,Placed,0.1148648648648648
F,0.6534653465346534,Others,0.2063153403029656,Central,Science,0.8,SciTech,No,1.0,MktFin,0.5045080360642884,Placed,0.054054054054054
F,0.5940594059405939,Others,0.1529763174738638,Others,Science,0.2857142857142858,CommMgmt,No,0.0770833333333333,MktHR,0.1756174049392393,Placed,0.054054054054054
M,0.6806930693069306,Others,1.0000000000000002,Others,Science,0.6531428571428572,SciTech,No,0.9875000000000004,MktFin,0.8479027832222656,Placed,0.2162162162162161
M,0.2722772277227721,Others,0.3449967996586303,Others,Arts,0.4000000000000001,CommMgmt,Yes,0.01,MktFin,1.0,Placed,0.0486486486486485
M,0.5940594059405939,Central,0.4730104544484745,Central,Science,0.2857142857142858,SciTech,Yes,0.4166666666666667,MktFin,0.6150529204233628,Placed,0.1013513513513513
M,0.6188118811881187,Central,0.4090036270535524,Central,Science,0.4571428571428571,CommMgmt,Yes,0.2083333333333334,MktFin,0.1905135241081925,Placed,0.081081081081081
M,0.3465346534653464,Others,0.4388734798378495,Others,Commerce,0.1542857142857143,CommMgmt,No,0.375,MktFin,0.5684045472363777,Placed,0.054054054054054
